input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8,0.192327,,"[0, 5, 3, 0]","[0, 3, 0, 3]",
ins-2,OPTIMAL,9,0.194035,,"[0, 6, 6, 0, 3]","[0, 5, 0, 3, 0]",
ins-3,OPTIMAL,10,0.188587,,"[0, 7, 7, 0, 3, 3]","[0, 6, 0, 3, 6, 0]",
ins-4,OPTIMAL,11,0.194722,,"[0, 5, 8, 8, 3, 0, 0]","[0, 3, 6, 0, 0, 3, 7]",
ins-5,OPTIMAL,12,0.186805,,"[0, 9, 6, 0, 6, 9, 3, 0]","[0, 8, 7, 3, 0, 0, 0, 9]",
ins-6,OPTIMAL,13,0.183947,,"[0, 4, 7, 10, 10, 7, 3, 0, 0]","[0, 9, 8, 7, 0, 0, 0, 9, 3]",
ins-7,OPTIMAL,14,0.207808,,"[0, 5, 11, 8, 0, 8, 11, 0, 3]","[0, 10, 9, 8, 3, 0, 0, 10, 0]",
ins-8,OPTIMAL,15,0.224786,,"[0, 0, 9, 12, 9, 0, 12, 6, 3, 6]","[0, 11, 7, 9, 0, 3, 0, 0, 0, 12]",
ins-9,OPTIMAL,16,0.247704,,"[0, 10, 0, 13, 7, 0, 13, 10, 3, 3]","[0, 12, 11, 10, 9, 3, 0, 0, 9, 0]",
ins-10,OPTIMAL,17,0.187055,,"[0, 0, 11, 11, 0, 14, 14, 7, 7, 3, 0, 7]","[0, 10, 6, 0, 3, 9, 0, 8, 0, 0, 14, 11]",
ins-11,OPTIMAL,18,0.362378,,"[3, 15, 3, 15, 0, 15, 12, 0, 6, 8, 6, 8, 10, 3, 10, 3]","[0, 0, 3, 4, 0, 10, 8, 7, 5, 8, 0, 12, 0, 14, 3, 8]",
ins-12,OPTIMAL,19,0.188995,,"[0, 0, 0, 10, 0, 13, 16, 16, 13, 10, 3, 6, 6, 6]","[0, 15, 10, 13, 3, 11, 10, 0, 0, 0, 0, 14, 8, 0]",
ins-13,OPTIMAL,20,0.292591,,"[0, 7, 13, 7, 13, 13, 10, 7, 10, 0, 16, 3, 3, 16]","[0, 0, 15, 4, 0, 7, 0, 10, 9, 3, 17, 11, 0, 0]",
ins-14,OPTIMAL,21,0.354923,,"[0, 11, 18, 18, 3, 15, 15, 18, 3, 0, 14, 11, 11, 6, 6]","[0, 0, 0, 5, 14, 4, 12, 11, 0, 3, 0, 4, 10, 15, 0]",
ins-15,OPTIMAL,22,0.365001,,"[9, 12, 0, 0, 9, 9, 15, 6, 0, 6, 15, 12, 3, 18, 18, 9]","[4, 4, 6, 0, 7, 14, 0, 12, 11, 0, 9, 8, 0, 19, 0, 0]",
ins-16,OPTIMAL,23,0.199461,,"[0, 0, 0, 17, 17, 0, 14, 17, 20, 20, 14, 3, 6, 6, 6, 6, 10, 10, 0]","[0, 16, 11, 17, 10, 3, 14, 0, 12, 0, 0, 0, 20, 16, 10, 0, 12, 0, 20]",
ins-17,OPTIMAL,24,0.194535,,"[0, 0, 0, 15, 21, 21, 21, 18, 0, 18, 15, 3, 11, 11, 11, 11, 6, 6]","[0, 20, 15, 18, 17, 9, 0, 14, 3, 0, 0, 0, 21, 17, 12, 0, 16, 0]",
ins-18,OPTIMAL,25,1.17788,,"[9, 19, 6, 22, 0, 19, 22, 22, 3, 19, 3, 6, 0, 9, 12, 15, 15, 15, 6]","[3, 8, 20, 19, 18, 0, 0, 9, 0, 12, 11, 3, 0, 6, 0, 0, 5, 12, 0]",
ins-19,OPTIMAL,26,1.707797,,"[11, 17, 17, 17, 8, 11, 14, 20, 17, 23, 23, 11, 20, 14, 4, 0, 0, 7, 4, 0, 0, 7]","[8, 22, 6, 0, 19, 0, 0, 16, 11, 14, 0, 11, 0, 9, 0, 15, 11, 0, 19, 18, 0, 5]",
ins-20,OPTIMAL,27,1.318645,,"[4, 17, 0, 20, 14, 7, 7, 7, 17, 17, 0, 14, 20, 0, 3, 3, 10, 23, 3, 23, 10]","[0, 23, 22, 21, 0, 19, 10, 0, 12, 0, 3, 7, 0, 0, 9, 3, 0, 0, 13, 8, 7]",
ins-21,OPTIMAL,28,1.664396,,"[6, 0, 14, 0, 21, 0, 6, 0, 3, 6, 3, 21, 18, 24, 24, 17, 24, 24, 14, 9, 9, 9]","[0, 8, 23, 12, 21, 0, 3, 18, 17, 12, 0, 0, 0, 25, 0, 23, 4, 12, 0, 22, 13, 0]",
ins-22,OPTIMAL,29,1.470614,,"[4, 26, 19, 4, 26, 12, 19, 12, 12, 19, 26, 4, 22, 15, 0, 22, 15, 0, 0, 15, 22, 7, 7, 7]","[6, 0, 0, 0, 4, 0, 20, 8, 18, 5, 11, 9, 6, 0, 0, 0, 4, 5, 14, 11, 9, 0, 21, 4]",
ins-23,OPTIMAL,30,1.110262,,"[0, 0, 18, 0, 0, 24, 24, 0, 21, 24, 27, 27, 21, 18, 14, 14, 14, 14, 14, 3]","[0, 26, 25, 20, 13, 22, 13, 3, 19, 0, 16, 0, 0, 0, 27, 23, 17, 9, 0, 0]",
ins-24,OPTIMAL,31,0.203388,,"[0, 0, 0, 0, 25, 28, 22, 25, 28, 28, 0, 25, 22, 19, 15, 15, 15, 15, 3]","[0, 27, 22, 16, 24, 23, 22, 14, 12, 0, 3, 0, 0, 0, 28, 21, 13, 0, 0]",
ins-25,OPTIMAL,32,17.719894,,"[11, 7, 23, 17, 4, 29, 26, 14, 17, 4, 4, 20, 17, 20, 14, 26, 29, 11, 23, 0, 10, 7, 7, 7, 7, 0, 0]","[4, 0, 0, 11, 0, 0, 23, 22, 0, 20, 7, 18, 17, 0, 0, 0, 8, 7, 5, 0, 0, 4, 9, 15, 22, 21, 3]",
ins-26,OPTIMAL,33,4.92153,,"[15, 9, 9, 12, 9, 0, 3, 0, 12, 12, 0, 9, 3, 15, 6, 22, 22, 18, 18, 22, 22, 18, 26]","[0, 0, 4, 0, 9, 0, 0, 8, 20, 6, 18, 16, 9, 3, 0, 4, 0, 10, 0, 21, 7, 16, 0]",
ins-27,OPTIMAL,34,2.073448,,"[9, 6, 3, 9, 6, 3, 6, 0, 0, 28, 0, 6, 3, 28, 9, 31, 24, 24, 24, 24, 12]","[6, 30, 0, 0, 0, 5, 7, 0, 10, 0, 21, 16, 13, 12, 9, 0, 0, 4, 23, 9, 0]",
ins-28,OPTIMAL,35,0.379357,,"[0, 0, 29, 0, 32, 29, 32, 29, 29, 32, 0, 17, 17, 17, 17, 21, 21, 25, 17, 21, 25, 3]","[0, 31, 30, 25, 28, 22, 19, 12, 0, 0, 3, 32, 28, 23, 17, 28, 20, 23, 0, 0, 0, 0]",
ins-29,OPTIMAL,36,0.294891,,"[0, 0, 0, 0, 30, 0, 33, 0, 33, 27, 30, 30, 33, 27, 20, 23, 23, 23, 15, 15, 15, 15, 3]","[0, 32, 27, 21, 29, 13, 27, 3, 16, 24, 15, 0, 0, 0, 0, 33, 22, 0, 33, 29, 15, 0, 0]",
ins-30,OPTIMAL,37,153.449673,,"[0, 18, 0, 18, 25, 0, 3, 3, 25, 18, 18, 3, 25, 0, 28, 21, 21, 21, 28, 21, 28, 32, 32, 32, 32, 32, 6]","[0, 0, 11, 4, 12, 3, 0, 9, 0, 24, 10, 20, 19, 16, 0, 11, 6, 0, 27, 15, 3, 6, 9, 0, 13, 23, 0]",
ins-31,OPTIMAL,38,0.207597,,"[0, 0, 0, 0, 0, 35, 35, 35, 35, 0, 27, 27, 27, 27, 31, 31, 31, 27, 3]","[0, 34, 29, 23, 16, 30, 21, 11, 0, 3, 35, 30, 24, 16, 27, 15, 0, 0, 0]",
ins-32,OPTIMAL,39,25.205235,,"[0, 0, 0, 7, 0, 7, 0, 7, 0, 7, 3, 3, 30, 30, 3, 3, 30, 3, 30, 34, 34, 34, 34, 10, 34, 34, 10, 10, 15]","[18, 14, 9, 0, 32, 31, 0, 6, 21, 16, 0, 3, 18, 0, 7, 30, 6, 15, 23, 10, 13, 17, 22, 31, 0, 28, 0, 13, 0]",
ins-33,OPTIMAL,40,0.209605,,"[0, 0, 0, 0, 37, 37, 37, 0, 0, 37, 30, 33, 33, 33, 25, 25, 25, 25, 25, 3]","[0, 36, 31, 25, 33, 25, 16, 15, 3, 0, 0, 36, 22, 0, 37, 33, 25, 13, 0, 0]",
ins-34,OPTIMAL,40,2.995632,,"[4, 7, 0, 0, 2, 4, 2, 2, 9, 11, 5, 13, 2, 4, 4, 0, 5, 0, 0, 10, 10, 7, 7, 7, 0]","[11, 27, 25, 0, 0, 22, 9, 25, 3, 14, 0, 3, 38, 29, 9, 20, 3, 7, 19, 0, 27, 14, 26, 9, 34]",
ins-35,OPTIMAL,40,1.171428,,"[6, 9, 8, 5, 0, 13, 12, 0, 0, 2, 5, 0, 1, 5, 13, 8, 2, 0, 0, 13, 1, 9, 5, 0, 13]","[0, 12, 0, 12, 22, 10, 10, 16, 36, 11, 11, 31, 16, 20, 28, 10, 0, 3, 0, 17, 19, 14, 32, 13, 34]",
