input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8,0.078070,,"[5, 5, 0, 0]","[0, 3, 5, 0]",
ins-2,OPTIMAL,9,0.031241,,"[3, 6, 6, 3, 0]","[0, 0, 4, 3, 0]",
ins-3,OPTIMAL,10,0.046865,,"[7, 0, 4, 7, 3, 0]","[0, 6, 0, 3, 6, 0]",
ins-4,OPTIMAL,11,0.093729,,"[5, 5, 8, 8, 0, 0, 0]","[8, 4, 0, 5, 8, 4, 0]",
ins-5,OPTIMAL,12,0.066077,,"[3, 6, 9, 3, 9, 6, 0, 0]","[6, 8, 7, 0, 0, 0, 0, 9]",
ins-6,OPTIMAL,13,0.117027,,"[10, 10, 7, 10, 0, 7, 3, 3, 0]","[10, 6, 0, 0, 6, 5, 10, 6, 0]",
ins-7,OPTIMAL,14,0.163648,,"[5, 0, 11, 8, 5, 8, 11, 3, 0]","[0, 10, 9, 0, 3, 6, 0, 10, 0]",
ins-8,OPTIMAL,15,0.189458,,"[12, 12, 6, 9, 6, 12, 9, 3, 0, 3]","[12, 0, 0, 0, 5, 4, 6, 0, 0, 12]",
ins-9,OPTIMAL,16,0.239094,,"[13, 7, 13, 10, 4, 13, 10, 7, 0, 0]","[8, 0, 11, 0, 9, 0, 6, 4, 9, 0]",
ins-10,OPTIMAL,17,0.195819,,"[14, 4, 14, 4, 4, 11, 14, 0, 7, 0, 7, 7]","[14, 13, 9, 0, 6, 0, 0, 14, 0, 0, 8, 11]",
ins-11,OPTIMAL,18,62.263938,,"[15, 7, 15, 3, 0, 3, 15, 0, 6, 3, 6, 6, 10, 10, 10, 10]","[0, 8, 13, 12, 11, 0, 3, 0, 5, 8, 0, 12, 15, 11, 6, 0]",
ins-12,OPTIMAL,19,0.499153,,"[6, 6, 6, 9, 6, 16, 3, 3, 16, 9, 0, 12, 12, 12]","[5, 15, 0, 13, 8, 11, 0, 9, 0, 0, 0, 14, 0, 6]",
ins-13,OPTIMAL,20,9.600431,,"[4, 17, 7, 17, 7, 7, 10, 17, 14, 4, 0, 13, 10, 0]","[0, 16, 15, 0, 0, 7, 11, 6, 0, 3, 17, 11, 0, 0]",
ins-14,OPTIMAL,21,12.896774,,"[15, 18, 5, 9, 12, 18, 18, 5, 12, 15, 8, 0, 8, 4, 0]","[18, 0, 10, 15, 0, 13, 4, 0, 7, 0, 0, 15, 4, 15, 0]",
ins-15,OPTIMAL,22,0.869915,,"[16, 16, 16, 16, 13, 4, 10, 7, 13, 7, 10, 4, 19, 0, 0, 13]","[4, 7, 11, 16, 15, 0, 0, 12, 4, 0, 9, 8, 0, 19, 0, 0]",
ins-16,OPTIMAL,23,258.664664,,"[3, 3, 10, 3, 3, 10, 13, 14, 20, 20, 17, 0, 16, 13, 16, 10, 6, 6, 0]","[13, 16, 0, 0, 6, 5, 0, 13, 12, 0, 9, 0, 6, 9, 0, 13, 12, 0, 20]",
