input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8,0.046864,,"[5, 5, 0, 0]","[0, 3, 5, 0]",
ins-2,OPTIMAL,9,0.031274,,"[6, 3, 3, 6, 0]","[0, 0, 4, 3, 0]",
ins-3,OPTIMAL,10,0.078096,,"[4, 7, 7, 4, 0, 0]","[7, 6, 0, 0, 6, 0]",
ins-4,OPTIMAL,11,0.191563,,"[5, 5, 8, 8, 0, 0, 0]","[8, 4, 0, 5, 8, 4, 0]",
ins-5,OPTIMAL,12,0.117674,,"[3, 9, 6, 3, 6, 9, 0, 0]","[0, 8, 7, 3, 0, 0, 0, 9]",
ins-6,OPTIMAL,13,0.171521,,"[4, 4, 10, 7, 7, 10, 0, 0, 0]","[10, 6, 0, 7, 0, 5, 10, 6, 0]",
ins-7,OPTIMAL,14,0.081555,,"[5, 5, 8, 11, 5, 11, 8, 0, 0]","[4, 0, 9, 0, 7, 6, 0, 10, 0]",
ins-8,OPTIMAL,15,0.109303,,"[3, 9, 6, 12, 6, 9, 12, 3, 0, 6]","[12, 8, 7, 0, 0, 0, 6, 0, 0, 12]",
ins-9,OPTIMAL,16,0.176564,,"[10, 13, 10, 7, 0, 10, 7, 13, 3, 0]","[0, 0, 3, 0, 9, 8, 6, 4, 9, 0]",
ins-10,OPTIMAL,17,0.149171,,"[14, 4, 7, 4, 4, 14, 7, 0, 10, 0, 7, 10]","[14, 6, 0, 0, 10, 0, 5, 14, 0, 0, 14, 8]",
ins-11,OPTIMAL,18,0.577552,,"[0, 0, 10, 10, 10, 7, 7, 0, 3, 3, 3, 3, 13, 13, 13, 13]","[11, 14, 0, 5, 11, 0, 8, 0, 10, 0, 13, 4, 5, 8, 0, 12]",
ins-12,OPTIMAL,19,0.193539,,"[6, 9, 6, 12, 9, 9, 3, 3, 6, 12, 0, 15, 15, 15]","[0, 8, 3, 13, 12, 0, 0, 9, 8, 0, 0, 0, 13, 5]",
ins-13,OPTIMAL,20,2.736574,,"[7, 17, 4, 17, 4, 4, 14, 17, 14, 7, 0, 10, 10, 0]","[0, 6, 7, 0, 0, 12, 11, 10, 0, 3, 17, 11, 0, 0]",
ins-14,OPTIMAL,21,0.468733,,"[8, 5, 18, 18, 11, 5, 5, 18, 11, 8, 14, 14, 14, 0, 0]","[18, 17, 16, 0, 14, 0, 8, 6, 0, 0, 0, 15, 4, 15, 0]",
ins-15,OPTIMAL,22,0.460236,,"[16, 13, 7, 4, 13, 10, 16, 16, 13, 4, 7, 10, 19, 0, 0, 4]","[9, 18, 4, 4, 11, 0, 0, 12, 0, 10, 9, 8, 0, 19, 0, 0]",
ins-16,OPTIMAL,23,44.041864,,"[3, 3, 3, 16, 16, 3, 10, 16, 13, 13, 10, 0, 19, 19, 19, 19, 6, 6, 0]","[0, 16, 3, 7, 0, 8, 0, 13, 12, 0, 9, 0, 20, 0, 14, 4, 12, 0, 20]",
ins-17,OPTIMAL,24,97.325750,,"[8, 9, 21, 18, 12, 0, 21, 21, 5, 8, 18, 15, 8, 5, 11, 11, 3, 0]","[7, 0, 0, 0, 0, 16, 5, 14, 4, 10, 6, 0, 4, 0, 7, 12, 16, 0]",
ins-18,OPTIMAL,25,18.138407,,"[6, 13, 10, 16, 3, 19, 22, 13, 13, 22, 19, 6, 3, 16, 0, 6, 9, 9, 19]","[17, 21, 20, 19, 0, 17, 16, 11, 0, 3, 3, 0, 7, 0, 0, 20, 0, 7, 0]",
