input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8,0.031260,"[False, False, False, False]","[5, 5, 0, 0]","[5, 0, 5, 0]",
ins-2,OPTIMAL,9,0.048894,"[False, True, True, True, True]","[0, 5, 0, 3, 0]","[6, 3, 3, 6, 0]",
ins-3,OPTIMAL,10,0.068403,"[False, True, True, True, False, True]","[7, 6, 0, 0, 6, 0]","[4, 7, 7, 4, 0, 0]",
ins-4,OPTIMAL,11,0.230384,"[False, False, True, True, True, False, False]","[8, 5, 0, 5, 8, 0, 0]","[0, 4, 8, 8, 3, 4, 0]",
ins-5,OPTIMAL,12,0.457046,"[False, False, False, False, False, False, False, True]","[0, 6, 9, 3, 9, 6, 0, 3]","[9, 0, 0, 0, 5, 4, 0, 6]",
ins-6,OPTIMAL,13,0.103462,"[False, False, True, True, True, True, False, False, True]","[6, 10, 0, 0, 6, 5, 9, 6, 0]","[0, 3, 7, 10, 10, 7, 0, 3, 0]",
ins-7,OPTIMAL,14,0.297882,"[False, True, True, False, True, True, True, True, True]","[0, 0, 9, 11, 4, 3, 0, 10, 0]","[5, 8, 11, 5, 8, 5, 11, 0, 0]",
ins-8,OPTIMAL,15,0.148331,"[False, True, True, False, True, True, True, True, True, True]","[12, 8, 0, 0, 5, 0, 3, 3, 0, 12]","[12, 9, 12, 3, 12, 9, 6, 3, 0, 6]",
ins-9,OPTIMAL,16,0.198609,"[False, False, False, False, True, False, False, False, True, False]","[13, 0, 13, 10, 0, 13, 10, 7, 3, 0]","[0, 12, 11, 10, 9, 3, 0, 0, 12, 0]",
ins-10,OPTIMAL,17,1.064736,"[False, True, True, True, False, True, True, False, True, True, True, True]","[0, 0, 9, 3, 6, 9, 4, 13, 9, 0, 14, 0]","[14, 11, 4, 14, 4, 14, 11, 11, 7, 0, 0, 4]",
ins-11,OPTIMAL,18,1.670727,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[3, 3, 3, 3, 0, 15, 15, 0, 11, 11, 11, 11, 6, 6, 6, 6]","[10, 6, 13, 0, 11, 10, 0, 0, 10, 6, 13, 0, 5, 14, 0, 8]",
ins-12,OPTIMAL,19,8.160986,"[False, False, True, False, True, True, True, False, True, True, True, True, False, True]","[0, 0, 7, 4, 12, 0, 7, 16, 8, 3, 0, 3, 0, 8]","[13, 9, 3, 3, 3, 16, 6, 6, 16, 9, 0, 12, 3, 12]",
ins-13,OPTIMAL,20,3.967656,"[False, True, True, False, False, True, True, True, True, True, False, True, True, True]","[0, 0, 4, 17, 17, 9, 0, 3, 9, 0, 13, 0, 9, 0]","[4, 13, 13, 7, 0, 10, 10, 4, 17, 7, 4, 16, 13, 0]",
ins-14,OPTIMAL,21,5.872064,"[False, True, True, True, True, True, False, True, True, False, False, True, False, True, False]","[5, 5, 9, 15, 0, 7, 5, 8, 0, 18, 14, 8, 14, 8, 0]","[9, 12, 12, 18, 18, 18, 0, 4, 15, 0, 0, 0, 7, 7, 0]",
ins-15,OPTIMAL,22,18.974999,"[False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False]","[16, 0, 10, 10, 16, 16, 7, 19, 10, 19, 7, 13, 4, 13, 0, 13]","[15, 19, 17, 0, 8, 0, 13, 0, 6, 10, 0, 0, 0, 14, 0, 18]",
ins-16,OPTIMAL,23,175.484313,"[False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False]","[20, 6, 10, 0, 16, 15, 0, 0, 12, 0, 9, 0, 20, 16, 0, 6, 0, 11, 10]","[4, 3, 13, 7, 7, 13, 10, 13, 20, 20, 10, 0, 0, 3, 3, 6, 16, 16, 3]",
ins-17,FEASIBLE,25,300.108551,"[False, False, True, False, True, True, True, True, False, False, True, False, False, False, True, False, False, False]","[21, 12, 0, 21, 5, 10, 5, 0, 15, 21, 0, 18, 14, 14, 10, 5, 9, 0]","[0, 0, 16, 17, 0, 22, 4, 22, 0, 3, 19, 0, 16, 12, 7, 7, 11, 0]",
ins-18,FEASIBLE,26,300.140026,"[False, True, False, False, True, False, False, False, True, True, False, True, True, True, True, True, True, True, True]","[6, 3, 3, 0, 0, 6, 3, 22, 11, 9, 0, 8, 7, 3, 0, 9, 14, 9, 22]","[6, 3, 6, 3, 23, 9, 11, 7, 10, 23, 9, 17, 3, 20, 0, 13, 13, 6, 20]",
ins-19,FEASIBLE,27,300.130719,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True]","[0, 9, 0, 3, 3, 16, 6, 6, 23, 23, 20, 3, 13, 9, 0, 6, 16, 9, 12, 19, 16, 12]","[19, 0, 22, 9, 0, 19, 0, 17, 4, 15, 4, 12, 4, 9, 0, 12, 15, 4, 20, 19, 4, 0]",
ins-20,FEASIBLE,28,300.211526,"[False, False, True, False, False, False, True, True, True, False, True, True, True, True, False, False, True, False, True, True, True]","[24, 24, 0, 21, 4, 4, 15, 7, 4, 24, 5, 7, 0, 21, 0, 0, 17, 0, 7, 8, 0]","[17, 24, 7, 0, 13, 20, 10, 18, 10, 0, 7, 21, 4, 24, 18, 22, 17, 10, 24, 13, 0]",
ins-21,FEASIBLE,29,300.259147,"[False, True, False, False, True, True, True, True, False, False, True, True, True, False, False, True, False, False, True, False, False, False]","[13, 17, 13, 0, 8, 13, 15, 3, 0, 21, 0, 3, 0, 24, 24, 16, 24, 24, 0, 16, 8, 3]","[17, 4, 12, 7, 20, 7, 20, 7, 15, 4, 4, 23, 26, 0, 4, 16, 8, 16, 0, 10, 11, 10]",
ins-22,FEASIBLE,30,300.130991,"[False, False, False, False, False, True, False, False, True, False, True, False, False, False, True, False, False, False, False, True, False, True, False, False]","[22, 22, 11, 22, 15, 0, 22, 11, 11, 5, 11, 8, 4, 14, 0, 0, 25, 14, 25, 11, 18, 10, 5, 0]","[8, 4, 9, 20, 8, 27, 11, 14, 24, 8, 27, 9, 24, 4, 17, 21, 20, 15, 4, 0, 4, 4, 0, 0]",
ins-23,FEASIBLE,31,300.106489,"[False, False, True, False, False, False, False, True, False, False, False, False, True, False, True, False, False, False, False, False]","[22, 21, 25, 24, 14, 24, 11, 14, 24, 11, 18, 21, 11, 27, 11, 18, 17, 14, 14, 0]","[25, 3, 25, 11, 3, 17, 0, 0, 0, 11, 10, 7, 28, 0, 24, 24, 3, 10, 18, 0]",
ins-24,INFEASIBLE,,300,,,,
ins-25,INFEASIBLE,,300,,,,
ins-25,INFEASIBLE,,300,,,,
ins-27,INFEASIBLE,,300,,,,
ins-28,INFEASIBLE,,300,,,,
ins-29,INFEASIBLE,,300,,,,
ins-30,INFEASIBLE,,300,,,,
ins-31,INFEASIBLE,,300,,,,
ins-32,INFEASIBLE,,300,,,,
ins-33,INFEASIBLE,,300,,,,
ins-34,INFEASIBLE,,300,,,,
ins-35,INFEASIBLE,,300,,,,
ins-36,INFEASIBLE,,300,,,,
ins-37,INFEASIBLE,,300,,,,
ins-38,INFEASIBLE,,300,,,,
ins-39,INFEASIBLE,,300,,,,
ins-40,INFEASIBLE,,300,,,,
