input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8.0,0.1953639999999836,,"[0, 0, 3, 3]","[5, 0, 0, 3]",
ins-2,OPTIMAL,9.0,0.1768240000000105,,"[0, 3, 3, 0, 6]","[0, 0, 4, 3, 0]",
ins-3,OPTIMAL,10.0,0.284370000000024,,"[4, 7, 7, 4, 0, 0]","[0, 0, 4, 3, 6, 0]",
ins-4,OPTIMAL,11.0,0.4382650000000012,,"[5, 5, 8, 8, 0, 0, 0]","[0, 3, 0, 5, 4, 0, 7]",
ins-5,OPTIMAL,12.0,0.6441829999999982,,"[0, 6, 9, 0, 9, 6, 3, 0]","[3, 0, 7, 6, 0, 4, 3, 0]",
ins-6,OPTIMAL,13.0,1.042349999999999,,"[7, 3, 10, 0, 0, 10, 3, 6, 3]","[10, 0, 0, 0, 6, 5, 10, 0, 4]",
ins-7,OPTIMAL,14.0,1.2950999999999908,,"[0, 0, 6, 3, 0, 3, 6, 9, 9]","[0, 3, 0, 0, 7, 6, 5, 0, 4]",
ins-8,OPTIMAL,15.0,1.745870000000025,,"[3, 6, 9, 12, 9, 6, 12, 3, 0, 6]","[12, 11, 10, 0, 3, 3, 6, 0, 0, 0]",
ins-9,OPTIMAL,16.0,2.36703,,"[0, 13, 0, 3, 6, 0, 3, 13, 9, 6]","[0, 0, 3, 0, 0, 8, 6, 4, 0, 7]",
ins-10,OPTIMAL,17.0,3.8011599999999817,,"[3, 0, 3, 0, 0, 6, 3, 6, 9, 13, 10, 6]","[0, 0, 3, 4, 10, 3, 8, 0, 3, 3, 0, 11]",
ins-11,OPTIMAL,18.0,7.181939999999997,,"[3, 6, 3, 15, 0, 6, 3, 0, 14, 14, 14, 6, 9, 9, 9, 10]","[0, 8, 13, 12, 11, 0, 3, 0, 0, 8, 3, 12, 5, 8, 0, 12]",
ins-12,OPTIMAL,19.0,6.858560000000011,,"[0, 7, 3, 13, 0, 10, 0, 7, 10, 13, 16, 6, 3, 3]","[0, 5, 0, 0, 3, 0, 10, 9, 8, 6, 0, 0, 5, 11]",
ins-13,OPTIMAL,20.0,8.64967999999999,,"[13, 3, 0, 3, 0, 0, 6, 3, 6, 13, 16, 9, 9, 16]","[0, 0, 0, 4, 5, 12, 0, 10, 9, 3, 0, 0, 9, 3]",
ins-14,OPTIMAL,21.0,11.632299999999988,,"[18, 0, 3, 3, 10, 0, 0, 3, 10, 18, 6, 6, 6, 13, 13]","[0, 0, 0, 5, 0, 4, 12, 11, 7, 3, 0, 4, 10, 0, 6]",
ins-15,OPTIMAL,22.0,14.290900000000022,,"[0, 3, 9, 6, 3, 12, 0, 0, 3, 6, 9, 12, 19, 15, 15, 6]","[0, 0, 4, 4, 4, 0, 3, 12, 11, 10, 9, 8, 0, 0, 3, 0]",
ins-16,OPTIMAL,23.0,23.033799999999985,,"[0, 0, 17, 4, 17, 17, 20, 0, 11, 11, 20, 14, 3, 3, 0, 3, 7, 7, 14]","[14, 0, 0, 17, 5, 12, 0, 4, 12, 0, 9, 0, 10, 13, 17, 0, 0, 11, 20]",
ins-17,OPTIMAL,24.0,24.203899999999976,,"[10, 7, 0, 18, 10, 7, 0, 0, 3, 10, 18, 21, 3, 3, 3, 6, 13, 13]","[0, 0, 0, 0, 3, 4, 5, 14, 12, 10, 6, 0, 0, 3, 7, 12, 0, 8]",
ins-18,OPTIMAL,25.0,29.340700000000027,,"[3, 16, 3, 19, 6, 16, 13, 16, 22, 13, 22, 3, 6, 19, 0, 9, 9, 9, 13]","[22, 10, 0, 0, 18, 14, 13, 0, 14, 0, 0, 5, 0, 6, 0, 20, 13, 0, 22]",
ins-19,OPTIMAL,26.0,44.4761,,"[7, 13, 13, 16, 19, 16, 7, 0, 10, 16, 7, 10, 0, 13, 23, 3, 3, 3, 22, 19, 19, 3]","[14, 22, 0, 12, 0, 18, 17, 16, 0, 0, 0, 11, 0, 5, 7, 0, 22, 3, 0, 18, 7, 8]",
ins-20,OPTIMAL,27.0,46.5076,,"[4, 11, 8, 18, 24, 21, 21, 21, 11, 11, 8, 24, 18, 7, 4, 4, 0, 14, 4, 14, 0]","[0, 23, 3, 21, 20, 10, 18, 0, 12, 0, 8, 0, 0, 0, 3, 21, 20, 0, 7, 8, 0]",
ins-21,OPTIMAL,28.0,60.24959999999999,,"[25, 15, 18, 15, 9, 15, 25, 15, 12, 25, 12, 9, 18, 5, 5, 21, 5, 5, 21, 0, 0, 0]","[16, 0, 23, 14, 0, 20, 19, 4, 17, 0, 0, 7, 0, 0, 3, 0, 20, 7, 5, 22, 0, 9]",
ins-22,OPTIMAL,29.0,75.08949999999999,,"[22, 10, 3, 22, 10, 0, 3, 0, 0, 3, 10, 22, 25, 13, 6, 25, 18, 6, 6, 18, 25, 17, 13, 13]","[0, 0, 0, 3, 4, 0, 5, 8, 18, 14, 11, 9, 0, 0, 0, 3, 4, 5, 14, 11, 9, 0, 4, 12]",
ins-23,OPTIMAL,30.0,70.0753,,"[7, 27, 0, 13, 27, 13, 27, 27, 10, 3, 3, 13, 10, 0, 3, 6, 6, 6, 6, 16]","[0, 26, 25, 24, 9, 16, 0, 16, 19, 3, 16, 0, 0, 0, 0, 3, 16, 22, 7, 0]",
ins-24,OPTIMAL,31.0,81.39920000000001,,"[24, 0, 18, 0, 24, 0, 3, 28, 28, 18, 0, 18, 3, 21, 27, 27, 24, 24, 6]","[28, 6, 0, 0, 21, 23, 22, 0, 10, 19, 10, 5, 0, 0, 21, 24, 13, 0, 0]",
ins-25,OPTIMAL,32.0,122.298,,"[4, 23, 10, 4, 29, 26, 7, 13, 4, 4, 23, 20, 23, 20, 17, 7, 26, 29, 10, 0, 13, 0, 0, 13, 16, 13, 0]","[29, 15, 27, 11, 25, 0, 23, 22, 0, 17, 19, 18, 0, 0, 0, 0, 8, 0, 0, 29, 0, 0, 23, 4, 22, 11, 5]",
ins-26,OPTIMAL,33.0,110.586,,"[14, 17, 17, 27, 17, 30, 20, 30, 27, 27, 30, 17, 20, 14, 0, 23, 3, 23, 23, 3, 23, 3, 7]","[30, 0, 4, 0, 9, 0, 0, 23, 6, 19, 8, 16, 9, 0, 0, 0, 17, 3, 23, 21, 9, 0, 0]",
ins-27,OPTIMAL,34.0,123.989,,"[0, 31, 18, 0, 18, 18, 31, 15, 15, 24, 15, 18, 31, 24, 0, 21, 27, 27, 27, 27, 3]","[0, 0, 21, 28, 14, 26, 4, 13, 23, 0, 0, 0, 13, 12, 3, 0, 30, 25, 14, 0, 0]",
ins-28,OPTIMAL,35.0,171.933,,"[7, 7, 32, 4, 4, 32, 7, 32, 32, 7, 4, 10, 10, 14, 14, 14, 10, 0, 14, 10, 0, 18]","[0, 3, 0, 22, 28, 17, 26, 25, 5, 7, 0, 0, 23, 24, 29, 17, 27, 23, 0, 3, 0, 0]",
ins-29,OPTIMAL,36.0,206.318,,"[4, 4, 4, 13, 28, 4, 13, 13, 13, 10, 28, 28, 4, 10, 7, 0, 0, 0, 31, 31, 31, 31, 16]","[4, 0, 7, 21, 0, 12, 27, 11, 0, 24, 7, 21, 20, 0, 0, 33, 22, 0, 0, 32, 3, 17, 0]",
ins-30,NO_SOLUTION_FOUND,,300,,,,
ins-31,OPTIMAL,38.0,191.572,,"[0, 3, 0, 0, 3, 3, 3, 3, 0, 0, 10, 6, 6, 10, 6, 10, 10, 6, 14]","[30, 26, 33, 24, 0, 30, 7, 16, 13, 0, 15, 6, 0, 30, 11, 18, 0, 22, 0]",
ins-32,NO_SOLUTION_FOUND,,300,,,,
