input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-1,OPTIMAL,8.0,0.0312418937683105,,"[0, 5, 3, 0]","[5, 0, 5, 0]",
ins-2,OPTIMAL,9.0,0.0239982604980468,,"[6, 3, 3, 6, 0]","[0, 0, 4, 3, 0]",
ins-3,OPTIMAL,10.0,0.0891530513763427,,"[7, 4, 4, 7, 0, 0]","[0, 0, 4, 3, 6, 0]",
ins-4,OPTIMAL,11.0,0.0784840583801269,,"[5, 5, 8, 8, 0, 0, 0]","[4, 7, 6, 0, 4, 7, 0]",
ins-5,OPTIMAL,12.0,0.1785945892333984,,"[3, 9, 6, 3, 6, 9, 0, 0]","[0, 0, 7, 3, 0, 4, 0, 9]",
ins-6,OPTIMAL,13.0,0.5754227638244629,,"[10, 10, 7, 10, 4, 7, 0, 0, 0]","[4, 0, 8, 7, 6, 0, 6, 9, 0]",
ins-7,OPTIMAL,14.0,0.4863929748535156,,"[11, 11, 5, 8, 11, 8, 5, 0, 0]","[11, 0, 0, 8, 4, 0, 5, 10, 0]",
ins-8,OPTIMAL,15.0,0.4468991756439209,,"[12, 12, 9, 3, 9, 12, 3, 6, 0, 6]","[0, 11, 7, 9, 0, 3, 0, 0, 0, 12]",
ins-9,OPTIMAL,16.0,0.2305307388305664,,"[10, 13, 10, 7, 4, 10, 7, 13, 0, 0]","[13, 0, 0, 0, 9, 5, 6, 4, 9, 0]",
ins-10,OPTIMAL,17.0,0.9692938327789308,,"[4, 11, 4, 4, 11, 14, 14, 0, 7, 0, 4, 7]","[0, 13, 3, 8, 6, 0, 8, 14, 6, 0, 14, 0]",
ins-11,OPTIMAL,18.0,161.79441714286804,,"[3, 11, 3, 10, 0, 10, 3, 0, 6, 14, 6, 6, 13, 6, 13, 13]","[0, 14, 3, 0, 11, 6, 8, 0, 5, 14, 0, 8, 5, 14, 0, 8]",
ins-12,OPTIMAL,19.0,73.848135471344,,"[10, 16, 16, 13, 10, 3, 10, 16, 3, 13, 0, 6, 6, 6]","[7, 10, 14, 13, 0, 11, 10, 0, 0, 0, 0, 6, 0, 11]",
ins-13,OPTIMAL,20.0,11.982361555099487,,"[7, 4, 17, 4, 17, 17, 10, 4, 10, 7, 0, 13, 13, 0]","[17, 0, 0, 4, 13, 5, 0, 10, 9, 0, 17, 11, 0, 0]",
ins-14,INFEASIBLE,,300,,,,
ins-15,INFEASIBLE,,300,,,,
ins-16,INFEASIBLE,,300,,,,
ins-17,INFEASIBLE,,300,,,,
ins-18,INFEASIBLE,,300,,,,
ins-19,INFEASIBLE,,300,,,,
ins-20,INFEASIBLE,,300,,,,
